te_id,te_band,te_psi,te_chr_start,te_chr_end,te_lrg_start,te_lrg_end,te_meta_start,te_meta_end,te_psi_dcm,te_psi_gtex,te_phase,te_symmetry,te_domain,te_ensembl_id
277,A-band,100,179472808,179472512,227722,228018,52706,53002,100,93,1,S,Fibronectin type-III 16,ENSE00002232274
278,A-band,100,179472412,179472128,228118,228402,53003,53287,100,94,1,S,Ig-like 99,ENSE00002267585
279,A-band,100,179472041,179471748,228489,228782,53288,53581,100,93,1,S,Fibronectin type-III 17,ENSE00002251156
280,A-band,100,179470440,179470141,230090,230389,53582,53881,100,93,1,S,Fibronectin type-III 18,ENSE00002296023
281,A-band,100,179470022,179469714,230508,230816,53882,54190,100,93,1,S,Ig-like 100,ENSE00002293069
282,A-band,100,179469625,179469435,230905,231095,54191,54381,100,93,0,A,Fibronectin type-III 19,ENSE00002282509
283,A-band,100,179469032,179468603,231498,231927,54382,54811,100,94,1,A,Fibronectin type-III 20,ENSE00002265632
284,A-band,100,179467317,179467009,233213,233521,54812,55120,100,89,1,S,Fibronectin type-III 21,ENSE00002303405
285,A-band,100,179466877,179466729,233653,233801,55121,55269,100,90,0,A,Ig-like 101,ENSE00002230234
286,A-band,100,179466641,179466609,233889,233921,55270,55302,100,87,0,S,Ig-like 101,ENSE00002207065
287,A-band,100,179466514,179466385,234016,234145,55303,55432,100,90,1,A,Ig-like 101,ENSE00002237812
288,A-band,100,179466291,179465992,234239,234538,55433,55732,100,91,1,S,Fibronectin type-III 22,ENSE00002290566
289,A-band,100,179465898,179465581,234632,234949,55733,56050,100,89,1,S,Fibronectin type-III 23,ENSE00002263160
290,A-band,100,179464577,179464281,235953,236249,56051,56347,100,96,1,S,Ig-like 102,ENSE00002247873
291,A-band,100,179464172,179463873,236358,236657,56348,56647,100,93,1,S,Fibronectin type-III 24,ENSE00002271099
292,A-band,100,179463789,179463475,236741,237055,56648,56962,100,94,1,S,Fibronectin type-III 25,ENSE00002237868
293,A-band,100,179463381,179463233,237149,237297,56963,57111,100,95,0,A,Fibronectin type-III 26,ENSE00002208657
294,A-band,100,179462785,179462635,237745,237895,57112,57262,100,96,1,A,Fibronectin type-III 26,ENSE00002230630
295,A-band,100,179462546,179462265,237984,238265,57263,57544,100,100,1,S,Ig-like 103,ENSE00002311207
296,A-band,100,179460536,179460234,239994,240296,57545,57847,100,92,1,S,Fibronectin type-III 27,ENSE00002250989
297,A-band,100,179459373,179459071,241157,241459,57848,58150,100,90,1,S,Fibronectin type-III 28,ENSE00002313443
298,A-band,100,179458969,179458688,241561,241842,58151,58432,100,90,1,S,Ig-like 104,ENSE00002250782
299,A-band,100,179458594,179458295,241936,242235,58433,58732,100,89,1,S,Fibronectin type-III 29,ENSE00002285490
300,A-band,100,179458202,179457900,242328,242630,58733,59035,100,90,1,S,Fibronectin type-III 30,ENSE00002302943
301,A-band,100,179457810,179457502,242720,243028,59036,59344,100,90,1,S,Fibronectin type-III 31,ENSE00002296044
302,A-band,100,179457387,179457106,243143,243424,59345,59626,100,90,1,S,Ig-like 105,ENSE00002298938
303,A-band,100,179457004,179456705,243526,243825,59627,59926,100,91,1,S,Fibronectin type-III 32,ENSE00002226829
304,A-band,100,179456619,179456326,243911,244204,59927,60220,100,92,1,S,Fibronectin type-III 33,ENSE00002323995
305,A-band,100,179456231,179453265,244299,247265,60221,63187,100,97,1,S,"Ig-like 106, Fibronectin type-III 34/35/36, Ig-like 107, Fibronectin type-III 37/38, Ig-like 108, Fibronectin type-III 39/40",ENSE00002316585
306,A-band,100,179452946,179452626,247584,247904,63188,63508,100,90,1,S,Fibronectin type-III 41,ENSE00002280086
307,A-band,100,179452527,179452243,248003,248287,63509,63793,100,91,1,S,Ig-like 109,ENSE00002250493
308,A-band,100,179452144,179451845,248386,248685,63794,64093,100,92,1,S,Fibronectin type-III 42,ENSE00002284091
309,A-band,100,179451534,179451232,248996,249298,64094,64396,100,91,1,S,Fibronectin type-III 43,ENSE00002239616
310,A-band,100,179450074,179449799,250456,250731,64397,64672,100,91,1,S,Ig-like 110,ENSE00002283197
311,A-band,100,179449695,179449396,250835,251134,64673,64972,100,91,1,S,Fibronectin type-III 44,ENSE00002287825
312,A-band,100,179449305,179449003,251225,251527,64973,65275,100,92,1,S,Fibronectin type-III 45,ENSE00002271404
313,A-band,100,179448633,179448334,251897,252196,65276,65575,100,90,1,S,Fibronectin type-III 46,ENSE00002274239
314,A-band,100,179447954,179447667,252576,252863,65576,65863,100,89,1,S,Ig-like 111,ENSE00002211344
315,A-band,100,179447319,179447023,253211,253507,65864,66160,100,88,1,S,Fibronectin type-III 47,ENSE00002274827
316,A-band,100,179446935,179446633,253595,253897,66161,66463,100,86,1,S,Fibronectin type-III 48,ENSE00002310072
317,A-band,100,179446531,179446226,253999,254304,66464,66769,100,88,1,S,Fibronectin type-III 49,ENSE00002307407
318,A-band,100,179445336,179445049,255194,255481,66770,67057,100,91,1,S,,ENSE00002254647
319,A-band,100,179444956,179444666,255574,255864,67058,67348,100,92,1,S,Fibronectin type-III 50,ENSE00002220229
320,A-band,100,179444575,179444288,255955,256242,67349,67636,100,92,1,S,Fibronectin type-III 51,ENSE00002317910
321,A-band,100,179444120,179443533,256410,256997,67637,68224,100,92,1,S,Ig-like 112,ENSE00002298613
322,A-band,100,179443442,179443338,257088,257192,68225,68329,100,91,1,S,Fibronectin type-III 52,ENSE00002288780
323,A-band,100,179442912,179442715,257618,257815,68330,68527,100,91,1,S,Fibronectin type-III 53,ENSE00002245101
324,A-band,100,179442625,179442329,257905,258201,68528,68824,100,91,1,S,Fibronectin type-III 54,ENSE00002235159
325,A-band,100,179442237,179441650,258293,258880,68825,69412,100,93,1,S,"Ig-like 113, Fibronectin type-III 55",ENSE00002285934
326,A-band,100,179441558,179441256,258972,259274,69413,69715,100,94,1,S,Fibronectin type-III 56,ENSE00002259127
327,A-band,100,179441143,179424038,259387,276492,69716,86821,100,95,1,S,"Fibronectin type-III 57, Ig-like 114, Fibronectin type-III 58/59, Ig-like 115, Fibronectin type-III 60/61/62, Ig-like 116, Fibronectin type-III 63/64/65, Ig-like 117, Fibronectin type-III 66/67, Ig-like 118, Fibronectin type-III 68/69/70, Ig-like 119, Fibronectin type-III 71/72/73, Ig-like 120, Fibronectin type-III 74/75, Ig-like 121, Fibronectin type-III 76/77/78, Ig-like 122, Fibronectin type-III 79/80/81, Ig-like 123, Fibronectin type-III 82/83, Ig-like 124, Fibronectin type-III 84/85/86, Ig-like 125, Fibronectin type-III 87/88/89, Ig-like 126, Fibronectin type-III 90/91, Ig-like 127, Fibronectin type-III 92/93/94, Ig-like 128, Fibronectin type-III 96/96/97, Ig-like 129, Fibronectin type-III 98",ENSE00002304613
328,A-band,100,179423364,179423068,277166,277462,86822,87118,100,96,1,S,Fibronectin type-III 99,ENSE00001124292
329,A-band,100,179422962,179422375,277568,278155,87119,87706,100,95,1,S,Fibronectin type-III 100,ENSE00001124286
330,A-band,100,179422282,179421980,278248,278550,87707,88009,100,96,1,S,Fibronectin type-III 101,ENSE00001378208
331,A-band,100,179421871,179421575,278659,278955,88010,88306,100,96,1,S,Fibronectin type-III 102,ENSE00001075046
332,A-band,100,179419879,179419592,280651,280938,88307,88594,100,96,1,S,Ig-like 130,ENSE00001075048
333,A-band,100,179419479,179419180,281051,281350,88595,88894,100,96,1,S,Fibronectin type-III 103,ENSE00001124262
334,A-band,100,179418943,179418641,281587,281889,88895,89197,100,97,1,S,Fibronectin type-III 104,ENSE00001075042
335,A-band,100,179418534,179418229,281996,282301,89198,89503,100,97,1,S,Fibronectin type-III 105,ENSE00001075043
336,A-band,100,179418123,179416357,282407,284173,89504,91270,100,97,1,S,"Ig-like 131, Fibronectin type-III 106/107, Ig-like 132, Fibronectin type-III 108/109",ENSE00001075040
337,A-band,100,179415987,179415694,284543,284836,91271,91564,100,98,1,S,Fibronectin type-III 110,ENSE00001340353
338,A-band,100,179415000,179414713,285530,285817,91565,91852,100,98,1,S,Ig-like 133,ENSE00001340352
339,A-band,100,179414596,179414297,285934,286233,91853,92152,100,98,1,S,Fibronectin type-III 111,ENSE00001340202
340,A-band,100,179414200,179412134,286330,288396,92153,94219,100,98,1,S,"Fibronectin type-III 112/113, Ig-like 134, Fibronectin type-III 114/115, Ig-like 135, Fibronectin type-III 116",ENSE00001378255
341,A-band,100,179412032,179411730,288498,288800,94220,94522,100,98,1,S,Fibronectin type-III 117,ENSE00001161749
342,A-band,100,179411632,179411327,288898,289203,94523,94828,100,98,1,S,Fibronectin type-III 118,ENSE00001237389
343,A-band,100,179411229,179410939,289301,289591,94829,95119,100,98,1,S,Ig-like 136,ENSE00001391632
344,A-band,99,179410843,179410547,289687,289983,95120,95416,100,99,1,S,Fibronectin type-III 119,ENSE00000782729
345,A-band,99,179410420,179410115,290110,290415,95417,95722,100,99,1,S,Fibronectin type-III 120,ENSE00001378983
346,A-band,99,179409233,179408928,291297,291602,95723,96028,100,99,1,S,Fibronectin type-III 121,ENSE00001389240
347,A-band,99,179408842,179408561,291688,291969,96029,96310,100,99,1,S,Ig-like 137,ENSE00001379517
348,A-band,99,179408389,179407796,292141,292734,96311,96904,100,99,1,S,Fibronectin type-III 122/123,ENSE00001387777
349,A-band,99,179407676,179407389,292854,293141,96905,97192,100,99,1,S,Ig-like 138,ENSE00001387624
350,A-band,99,179407290,179406991,293240,293539,97193,97492,100,100,1,S,Fibronectin type-III 124,ENSE00001237336
351,A-band,100,179406311,179406009,294219,294521,97493,97795,100,98,1,S,Fibronectin type-III 125,ENSE00000883007
352,A-band,100,179405097,179404795,295433,295735,97796,98098,100,100,1,S,Fibronectin type-III 126,ENSE00001237323
353,A-band,100,179404693,179404109,295837,296421,98099,98683,100,100,1,S,"Ig-like 139, Fibronectin type-III 127",ENSE00001728573
354,A-band,100,179403978,179403673,296552,296857,98684,98989,100,100,1,S,Fibronectin type-III 128,ENSE00001791968
355,A-band,100,179403566,179403267,296964,297263,98990,99289,100,100,1,S,Fibronectin type-III 129,ENSE00001592209
356,A-band,100,179402644,179402069,297886,298461,99290,99865,100,100,1,S,Ig-like 140,ENSE00001736827
357,A-band,100,179401970,179401665,298560,298865,99866,100171,100,99,1,S,Fibronectin type-III 130,ENSE00001692279
358,A-band,99,179401302,179400709,299228,299821,100172,100765,100,99,1,S,"Fibronectin type-III 131, Ig-like 141",ENSE00001715710
359,M-band,100,179400576,179394968,299954,305562,100766,106374,100,100,0,A,"Ig-like 142, Fibronectin type-III 132, Protein kinase, Ig-like 143/144/145/146/147/148",ENSE00001593660
360,M-band,100,179394843,179394687,305687,305843,106375,106531,100,99,1,A,Ig-like 149,ENSE00001675318
361,M-band,100,179393946,179393255,306584,307275,106532,107223,100,99,0,A,Ig-like 150,ENSE00001632029
362,M-band,100,179393154,179393001,307376,307529,107224,107377,100,100,1,A,Ig-like 151,ENSE00001617064
363,M-band,99,179392475,179392173,308055,308357,107378,107680,99,99,1,S,,ENSE00001762833
364,M-band,100,179392034,179390716,308496,309814,107681,107976,100,100,,A,Ig-like 152,ENSE00001776354
